Language,Participant,Occurency_order,Item,Consistency,Cons_level,Lexicality,Accuracy,RT,logRT,Outlier
French,101,119,Fr_con_boite-doiche.wav,con,NA,pseudoword,1,1474,1.056165828,0
French,101,120,Fr_inc3_caisse.wav,inc,3,word,1,1331,1.041392685,0
French,102,1,Fr_con_pneu-treu.wav,con,NA,pseudoword,0,985,0.997812077,0
French,102,2,Fr_inc_gendarme-fandarte.wav,inc,2,pseudoword,1,1184,1.024450567,0
French,102,3,Fr_inc_cerveau-kerbeau.wav,inc,3,pseudoword,1,995,0.99927436,0
French,102,4,Fr_con_parole-nabole.wav,con,NA,pseudoword,1,862,0.978502422,0
French,102,5,Fr_inc_fils-jige.wav,inc,3,pseudoword,1,1146,1.019728206,0
French,102,6,Fr_con_peluche-meruche.wav,con,NA,pseudoword,1,1029,1.004138458,0
French,102,7,Fr_con_doute-boune.wav,con,NA,pseudoword,1,799,0.967515593,0
French,102,8,Fr_con_baton-damon.wav,con,0,pseudoword,1,941,0.991196541,0
French,102,9,Fr_inc2_camera.wav,inc,2,word,1,768,0.961787073,0
French,102,10,Fr_con0_larme.wav,con,0,word,1,786,0.965140849,0
French,102,11,Fr_con_retour-betoute.wav,con,NA,pseudoword,1,754,0.959123782,0
French,102,12,Fr_con0_baton.wav,con,0,word,1,885,0.982314424,0
French,102,13,Fr_con_porte-lorve.wav,con,NA,pseudoword,1,998,0.99971018,0
French,102,14,Fr_con_douleur-bouleuve.wav,con,NA,pseudoword,1,1113,1.015498388,0
French,102,15,Fr_inc2_castor.wav,inc,2,word,1,834,0.973722017,0
French,102,16,Fr_con_mouche-poube.wav,con,NA,pseudoword,1,892,0.983454951,0
French,102,17,Fr_con0_ruche.wav,con,0,word,1,952,0.992878983,0
French,102,18,Fr_con_boite.wav,con,NA,word,1,907,0.985869096,0
French,102,19,Fr_con_peur.wav,con,NA,word,1,654,0.938525916,0
French,102,20,Fr_con_peluche.wav,con,NA,word,1,793,0.966424396,0
French,102,21,Fr_inc_soupe-coume.wav,inc,NA,pseudoword,1,670,0.942024934,0
French,102,22,Fr_inc_flaque-slasse.wav,inc,2,pseudoword,1,900,0.984747503,0
French,102,23,Fr_con_pneu.wav,con,NA,word,1,765,0.961220478,0
French,102,24,Fr_inc2_sapin.wav,inc,2,word,1,764,0.96103112,0
French,102,25,Fr_con_drame-brane.wav,con,0,pseudoword,1,844,0.975447482,0
French,102,26,Fr_inc_caisse-seffe.wav,inc,3,pseudoword,1,879,0.981329625,0
French,102,27,Fr_con0_drame.wav,con,0,word,1,1029,1.004138458,0
French,102,28,Fr_inc3_fils.wav,inc,3,word,1,900,0.984747503,0
French,102,29,Fr_inc3_cigogne.wav,inc,3,word,1,942,0.991350301,0
French,102,30,Fr_con_larme-parde.wav,con,0,pseudoword,1,922,0.98824364,0
French,102,31,Fr_con_boule.wav,con,NA,word,1,857,0.977660274,0
French,102,32,Fr_inc2_gendarme.wav,inc,2,word,1,827,0.972501837,0
French,102,33,Fr_con_retour.wav,con,NA,word,1,808,0.96913712,0
French,102,34,Fr_inc_girafe-kirague.wav,inc,3,pseudoword,1,922,0.98824364,0
French,102,35,Fr_con_puma-luva.wav,con,NA,pseudoword,1,828,0.972676779,0
French,102,36,Fr_inc_kepi-selie.wav,inc,3,pseudoword,1,1013,1.001869815,0
French,102,37,Fr_inc_jupe-fude.wav,inc,NA,pseudoword,1,917,0.987456445,0
French,102,38,Fr_inc_serrure-quemure.wav,inc,2,pseudoword,1,714,0.951232737,0
French,102,39,Fr_con0_machoire.wav,con,0,word,1,803,0.968238515,0
French,102,40,Fr_con0_morve.wav,con,0,word,1,907,0.985869096,0
French,102,41,Fr_con_boite-doiche.wav,con,NA,pseudoword,1,966,0.994992375,0
French,102,42,Fr_inc2_serrure.wav,inc,2,word,1,1087,1.012076515,0
French,102,43,Fr_inc_camera-samena.wav,inc,2,pseudoword,1,945,0.991810603,0
French,102,44,Fr_con_vapeur-raneur.wav,con,0,pseudoword,0,1364,1.044938123,0
French,102,45,Fr_con_ruche-muve.wav,con,0,pseudoword,1,1388,1.047463155,1
French,102,46,Fr_inc_sabot.wav,inc,NA,word,1,931,0.989649894,0
French,102,47,Fr_inc_pharmacie.wav,inc,NA,word,1,831,0.973200341,0
French,102,48,Fr_con_don.wav,con,NA,word,1,839,0.97458732,0
French,102,49,Fr_inc2_cible.wav,inc,2,word,1,861,0.978334384,0
French,102,50,Fr_con_mouche.wav,con,NA,word,1,690,0.94628303,0
French,102,51,Fr_con_peur-leute.wav,con,NA,pseudoword,1,1009,1.001297055,0
French,102,52,Fr_inc_cerf-queche.wav,inc,2,pseudoword,1,900,0.984747503,0
French,102,53,Fr_con_preuve-vreune.wav,con,NA,pseudoword,1,1023,1.003291878,0
French,102,54,Fr_inc_cousin-souffin.wav,inc,NA,pseudoword,1,1107,1.014715874,0
French,102,55,Fr_con0_lardon.wav,con,0,word,1,890,0.983130002,0
French,102,56,Fr_inc3_cerveau.wav,inc,3,word,1,770,0.962163575,0
French,102,57,Fr_inc_question.wav,inc,NA,word,1,769,0.961975447,0
French,102,58,Fr_inc3_kepis.wav,inc,3,word,1,821,0.971447719,0
French,102,59,Fr_con_preuve.wav,con,NA,word,1,1018,1.002582593,0
French,102,60,Fr_con_machoire-passoile.wav,con,0,pseudoword,1,1151,1.020358441,0
French,102,61,Fr_con_boule-dougne.wav,con,NA,pseudoword,1,1158,1.021236186,0
French,102,62,Fr_inc_quatre.wav,inc,NA,word,1,931,0.989649894,0
French,102,63,Fr_con_bouchon-doulon.wav,con,NA,pseudoword,1,1202,1.026634823,0
French,102,64,Fr_con_bonbon.wav,con,NA,word,1,778,0.963659866,0
French,102,65,Fr_inc_pharmacie-sarnasie.wav,inc,NA,pseudoword,1,1020,1.002866724,0
French,102,66,Fr_con_bol-doche-.wav,con,NA,pseudoword,1,949,0.992422071,0
French,102,67,Fr_con_doudoune-bouloune.wav,con,NA,pseudoword,1,980,0.997075359,0
French,102,68,Fr_inc_jupe.wav,inc,NA,word,1,786,0.965140849,0
French,102,69,Fr_inc_cigogne-quisogne.wav,inc,3,pseudoword,1,790,0.965875697,0
French,102,70,Fr_con_lardon-parnon.wav,con,0,pseudoword,1,960,0.994090411,0
French,102,71,Fr_con_madame.wav,con,NA,word,1,848,0.976131951,0
French,102,72,Fr_con_doudoune.wav,con,NA,word,1,1027,1.003856815,0
French,102,73,Fr_inc2_cerf.wav,inc,2,word,1,901,0.984908264,0
French,102,74,Fr_inc2_flaque.wav,inc,2,word,1,865,0.979005369,0
French,102,75,Fr_inc_jour-foube.wav,inc,NA,pseudoword,1,974,0.996186319,0
French,102,76,Fr_inc_cote-soche.wav,inc,2,pseudoword,1,965,0.994842438,0
French,102,77,Fr_con_don-be.wav,con,NA,pseudoword,0,1218,1.028549096,0
French,102,78,Fr_inc_sirene-kirelle.wav,inc,3,pseudoword,0,1087,1.012076515,0
French,102,79,Fr_con_doute.wav,con,NA,word,1,859,0.977997721,0
French,102,80,Fr_inc_soupe.wav,inc,NA,word,1,844,0.975447482,0
French,102,81,Fr_con_morve-porle.wav,con,0,pseudoword,1,933,0.989960548,0
French,102,82,Fr_inc3_girafe.wav,inc,3,word,1,857,0.977660274,0
French,102,83,Fr_con_bouchon.wav,con,NA,word,1,911,0.986506126,0
French,102,84,Fr_con_brulure-trumure.wav,con,0,pseudoword,1,896,0.98410267,0
French,102,85,Fr_inc_sabot-fateau.wav,inc,NA,pseudoword,1,1056,1.007887973,0
French,102,86,Fr_inc_sapin-carin.wav,inc,2,pseudoword,1,922,0.98824364,0
French,102,87,Fr_con_porte.wav,con,NA,word,1,720,0.952444165,0
French,102,88,Fr_inc3_foret.wav,inc,3,word,1,876,0.980834702,0
French,102,89,Fr_inc3_caisse.wav,inc,3,word,1,736,0.955625938,0
French,102,90,Fr_inc_gifle-sisle.wav,inc,3,pseudoword,1,1140,1.018968284,0
French,102,91,Fr_inc_question-sejtion.wav,inc,NA,pseudoword,1,1289,1.036750972,0
French,102,92,Fr_inc_cible-quibre.wav,inc,2,pseudoword,1,1155,1.020860661,0
French,102,93,Fr_con_roulade.wav,con,NA,word,1,1050,1.0070631,0
French,102,94,Fr_con_puma.wav,con,NA,word,1,733,0.955034658,0
French,102,95,Fr_con_bol.wav,con,NA,word,1,978,0.996779618,0
French,102,96,Fr_inc_jour.wav,inc,NA,word,1,975,0.996334872,0
